Hexadecimal	Level Req	Spell Rule	Menu Steps	Menu Path 1/2	Menu Path 3/4	Range	Base Damage	Accuracy	Spell Type	Projectile Path	Projectile Height	Auto Hit	Target	????	Float Size	????	Hits	Hit Delay	Start Delay	Starting  Location	Homing Intensity	Angle?	Direction?	Speed Desired	Speed Initial	Compress/ Vampire	Power Staff/ Restriction	Movement/ Agility	Silence/ Search	Barrier/ Confusion	Defense/ ????	????	????	????
00D4BD08 Fire Bomb	001E	0005	0003	0000	0100	0023	0140	0064	0000	0000	0001	0002	0000	0000	4190	0000	0001	0000	0000	0003	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BD4C Vampire's Touch	0020	0001	0003	0001	0200	0001	0000	0064	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0001	0000	0000	0000	0000	0000	0000	0000	0000
00D4BD90 Magma Ball	0024	0005	0003	0001	0300	0014	00B4	0064	0009	0000	0002	0000	0001	0000	40E0	0000	0003	0000	0000	0000	0000	0000	0000	0002	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BDD4 Extinction	0028	0011	0003	0002	0300	0001	0000	003C	0007	0001	0000	0001	0000	0000	3F80	0000	0001	0000	001C	0006	0000	0000	0000	0002	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BE18 Hot Steam Lv2	002C	0025	0003	0002	0200	0008	014A	0064	0000	0001	0002	0000	0001	0000	41F0	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BE5C Rock Lv1	0001	0005	0001	0100	0000	0028	0122	0064	0000	0000	0001	0000	0000	0000	40A0	0000	0001	0000	000A	0004	0001	0001	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BEA0 Rock Lv2	0004	0005	0002	0101	0000	0028	0136	0064	0000	0000	0001	0000	0000	0000	4120	0000	0001	0000	0010	0004	0001	0001	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BEE4 Spirit Armor Lv1	0007	0001	0002	0102	0000	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0300	0000	0000	0000
00D4BF28 Rolling Rock Lv1	000A	0025	0002	0100	0000	0032	0118	0064	0000	0000	0002	0000	0000	0000	40C0	0000	0001	0000	0000	0008	0000	0000	0004	0002	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BF6C Weakness Lv1	000D	0011	0002	0103	0000	0001	0000	005A	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0200	0000	0000	0000
00D4BFB0 Rock Lv3	0010	0005	0003	0101	0100	0028	0140	0064	0000	0000	0001	0000	0000	0000	4170	0000	0001	0000	0014	0004	0001	0001	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BFF4 Magnet Rock	0013	0005	0003	0101	0200	0028	00F0	0064	0000	0002	0000	0000	0000	0000	3F80	0000	0001	0000	0012	0006	0000	0000	0000	0001	0000	0000	0000	0000	0000	0000	0000	0200	0000	0000
00D4C038 Spirit Armor Lv2	0015	0011	0003	0102	0200	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0400	0000	0000	0000
00D4C07C Avalanche	0018	0005	0003	0100	0100	003C	01CC	0064	0000	0001	0001	0000	0001	0000	4120	0000	000A	0004	0005	0007	0000	0001	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0400	0000
00D4C0C0 Confusion	001B	0001	0003	0100	0200	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0000	0001	0000	0000	0000	0000
00D4C104 Weakness Lv2	001F	0015	0003	0102	0300	0001	0001	005A	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0100	0000	0000	0000
00D4C148 Rock Shower	0022	0005	0003	0101	0300	0014	0096	0064	0000	0001	0000	0000	0001	0000	447A	0000	0001	0000	0000	0000	0000	0000	0000	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C18C Magic Barrier	0024	0001	0003	0100	0300	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0100	0000	0000	0000	0000
00D4C1D0 Rolling Rock Lv2	0027	0025	0003	0100	0000	0032	0118	0064	0000	0000	0002	0000	0000	0000	4140	0000	0001	0005	0000	0008	0000	0000	0004	0002	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C214 Weaken All	002B	0015	0003	0103	0300	0008	0000	005A	0005	0001	0000	0001	0001	0000	42C8	0000	0001	0000	0000	0006	0000	0000	0000	0003	0000	0000	0000	0000	0000	0000	0200	0000	0000	0000
00D4C258 Water Pillar Lv1	0001	0005	0001	0200	0000	001E	016D	0064	0000	0001	0002	0000	0001	0000	40A0	0000	0001	0000	0000	0003	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C29C Water Pillar Lv2	0004	0005	0002	0202	0000	001E	0176	0064	0000	0001	0002	0000	0001	0000	4120	0000	0001	0000	0000	0003	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C2E0 Healing Lv1	0007	0003	0002	0201	0000	0001	0002	0064	0001	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C324 Soul Searcher Lv1	000A	0001	0002	0200	0000	0001	0000	0064	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0001	0000	0000	0000	0000	0000
00D4C368 Water Pillar Lv3	000D	0005	0003	0202	0200	001E	017E	0064	0000	0001	0000	0000	0001	0000	4170	0000	0001	0000	0000	0003	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C3AC Ice Wall	000F	0025	0003	0201	0200	0008	0118	0064	0000	0001	0000	0000	0001	0000	4170	0000	0001	0000	0000	0000	0000	0001	0000	0003	0003	0000	0002	0000	0000	0000	0000	0303	0000	0000
00D4C3F0‬ Ice Knife	0011	0001	0003	0202	0300	0014	00C8	0064	0000	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0014	0006	0000	0000	0000	0003	0003	0000	0002	0000	0000	0000	0000	0000	0000	0000
00D4C434 Exit	0013	0012	0002	0203	0000	0001	0000	0064	0006	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C478‬ Escape	0017	0011	0003	0201	0300	0001	0000	0037	0003	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C4BC Return	0018	0012	0003	0203	0300	0001	0000	0064	0004	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C500‬ Healing Lv2	0019	0003	0003	0201	0100	0032	0008	0064	0001	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C544‬ Soul Searcher Lv2	0021	0005	0003	0200	0000	0008	0000	0064	0005	0001	0000	0001	0001	0000	42C8	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0001	0000	0000	0000	0000	0000
00D4C588‬ Walking Water	0023	0005	0003	0200	0200	0032	00FA	0064	0000	0000	0002	0000	0001	0000	4120	0000	0001	0004	0006	0003	0000	0000	0000	0001	0002	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C5CC‬ Drain Magic	0028	0011	0003	0200	0100	0001	0000	0046	0002	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C610‬ Invalidity	002E	0001	0003	0200	0300	0001	0000	005F	0008	0000	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C654‬ Wind Cutter Lv1	0001	0001	0001	0300	0000	001E	0078	0064	0000	0000	0000	0000	0000	0000	40A0	0000	0001	0003	0000	0001	0003	0000	0002	0004	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C698‬ Wind Cutter Lv2	0004	0001	0002	0303	0000	001E	0064	0064	0000	0000	0000	0000	0000	0000	40A0	0000	0003	0003	0000	0001	0003	0000	0002	0004	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C6DC‬ Restriction Lv1	0006	0005	0002	0300	0000	0001	0000	0050	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	002D	0006	0000	0000	0000	0003	0003	0000	0001	0000	0000	0000	0000	0000	0000	0000
00D4C720‬ Evade Lv1	0008	0001	0002	0302	0000	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0001	0000	0000	0000	0000	0000	0000
00D4C764‬ Silence Lv1	000A	0011	0002	0301	0000	0001	0000	0050	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0100	0000	0000	0000	0000	0000
00D4C7A8‬ Wind Cutter Lv3	000C	0001	0003	0303	0300	001E	0050	0064	0000	0000	0000	0000	0000	0000	40A0	0000	0006	0003	0000	0001	0003	0000	0002	0004	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C7EC Large Cutter	000D	002D	0003	0300	0300	0006	01A4	0064	0000	0000	0000	0000	0001	0000	4140	0000	0001	0000	0000	0001	0000	0002	0000	0004	0004	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4C830‬ Restriction Lv2	0010	0005	0003	0300	0000	0008	0000	0050	0005	0001	0000	0001	0001	0000	42C8	0000	0001	0000	002D	0006	0000	0000	0000	0003	0003	0000	0001	0000	0000	0000	0000	0000	0000	0000
00D4C874‬ Wind Bomb	0014	0025	0003	0302	0300	0008	00B4	0064	0000	0001	0002	0000	0001	0000	4170	0000	0001	0000	0000	0000	0000	0001	0000	0000	0000	0000	0000	0003	0000	0000	0000	0001	0000	0000
00D4C8B8‬ Evade Lv2	0018	0001	0003	0302	0200	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0002	0000	0000	0000	0000	0000	0000
00D4C8FC‬ Cyclone	001C	0005	0003	0301	0300	002D	00FA	0064	0000	0000	0002	0000	0001	0000	4140	0000	0001	0000	0000	0000	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0200	0000	0000
00D4C940 Slow Enemy	0020	0011	0003	0300	0100	0001	0000	005A	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0100	0000	0000	0000	0000	0000	0000
00D4C984‬ Wind Walk	0025	0001	0003	0301	0200	0001	0000	005A	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0000	0200	0000	0000	0000	0000	0000	0000
00D4C9C8 Silence Lv2	002A	0015	0003	0301	0100	0008	0000	0050	0005	0001	0000	0001	0001	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0000	0000	0000	0100	0000	0000	0000	0000	0000
00D4CA0C‬ Ultimate Wind	002F	0005	0003	0300	0200	0008	0064	0064	0000	0001	0000	0001	0001	0000	41A0	0000	0001	0000	0014	0006	0000	0000	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CA50‬ Sol_Panch	0000	0005	0003	0000	0000	0032	0226	0064	0000	0000	0002	0000	0001	0000	4170	0000	0001	0000	0005	0001	0000	0000	0000	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CA94 Sol_Toge	0000	0005	0003	0000	0000	0032	0352	0064	0000	0000	0002	0001	0001	0000	4396	0000	0001	0000	001E	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CAD8‬ Zel_Cat	0000	000D	0003	0000	0000	0032	0032	005A	0009	0000	0000	0000	0000	0000	4080	0000	0005	0007	0003	0001	0003	0000	0004	0004	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CB1C‬ Zel_Beam	0000	0005	0003	0000	0000	0032	01F4	0064	0000	0000	0002	0000	0000	0000	4140	0000	0001	0005	000D	0008	0000	0000	0004	0004	0004	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CB60‬ Npt_Ball	0000	0009	0003	0000	0000	000F	00C8	005A	0000	0000	0000	0000	0000	0000	40A0	0000	0003	000E	0000	0001	0002	0000	0000	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CBA4‬ Npt_Turn	0000	0005	0003	0000	0000	003C	01F4	0064	0009	0000	0000	0000	0001	0000	4416	0000	0001	0000	000A	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CBE8‬ Fag_Ball	0000	0005	0003	0000	0000	0023	0118	0064	0000	0000	0001	0000	0000	0000	4190	0000	0001	000D	0000	0001	0003	0000	0000	0004	0002	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CC2C‬ Fag_Bom	0000	0005	0003	0000	0000	0028	017C	0064	0009	0001	0002	0000	0001	0000	41F0	0000	0001	0017	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CC70‬ Sil_Laser	0000	0005	0003	0000	0000	0028	01F4	0064	0009	0000	0000	0000	0001	0000	4040	0000	0001	0000	0000	0000	0000	0002	0000	0004	0004	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CCB4‬ Sil_Cat	0000	000D	0003	0000	0000	0028	0064	005A	0009	0000	0000	0000	0000	0000	40A0	0000	0005	0004	0000	0001	0003	0000	0003	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CCF8‬ Gil_Punch	0000	0005	0003	0000	0000	0028	0258	0064	0009	0000	0000	0001	0001	0000	4396	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CD3C Gil_Crow	0000	0001	0003	0000	0000	0028	012C	0055	0000	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0001	0000	0000	0000	0000	0000	0000	0000
00D4CD80‬ Ges_Cat	0000	000D	0003	0000	0000	0014	01F4	005A	0009	0000	0000	0000	0001	0000	4140	0000	0001	0000	0000	0000	0000	0001	0000	0004	0004	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CDC4‬ Ges_Beam	0000	0005	0003	0000	0000	003C	0258	0064	0000	0000	0002	0001	0001	0000	3F80	0000	0001	0000	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CE08‬ On_Light	0000	0005	0003	0000	0000	0028	0140	0055	0009	0001	0002	0001	0001	0000	41F0	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CE4C On_Wave	0000	0005	0003	0000	0000	003C	01E0	0064	0000	0000	0002	0000	0001	0000	41C8	0000	0003	0000	0000	0000	0000	0002	0000	0001	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4CE90‬ On_Needle	0000	000D	0003	0000	0000	003C	0032	0064	0000	0000	0000	0000	0000	0000	4040	0000	0008	0000	0000	0009	0003	0000	0004	0002	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
