Rom Address (Hex)	Derscription	Enemy ID 1	Min Count	Extra	Enemy ID 2	Min Count	Extra	Enemy ID 3	Min Count	Extra	Enemy ID 4	Min Count	Extra
3E3070	Isle Of Skye	00000008	00000001	00000002									
3E307C	Isle Of Skye	0000000A	00000002	00000001									
3E3088	Isle Of Skye	0000000B	00000002	00000001									
3E3094	Isle Of Skye	0000000A	00000001	00000000	00000009	00000001	00000000	0000000B	00000001	00000000			
3E30B8	Isle Of Skye	00000008	00000001	00000000	0000000A	00000001	00000000	0000000B	00000001	00000001			
667230	Blue Cave	00000000	00000002	00000002									
66723C	Blue Cave	00000001	00000001	00000000									
667248	Blue Cave	00000002	00000002	00000002									
667254	Blue Cave	00000003	00000002	00000002									
667260	Blue Cave	00000006	00000002	00000002									
66726C	Blue Cave	00000008	00000001	00000002									
667278	Blue Cave	00000002	00000001	00000001	00000003	00000002	00000001						
667290	Blue Cave	00000000	00000001	00000001	00000002	00000001	00000001						
6672A8	Blue Cave	00000000	00000002	00000001	00000008	00000001	00000000						
6672C0	Blue Cave	00000004	00000001	00000000									
6C6438	Cull Hazard	00000008	00000002	00000002									
6C6444	Cull Hazard	00000001	00000001	00000000									
6C6450	Cull Hazard	00000004	00000001	00000001									
6C645C	Cull Hazard	00000005	00000001	00000000									
6C6468	Cull Hazard	00000006	00000001	00000001									
6C6474	Cull Hazard	00000008	00000001	00000001	00000004	00000001	00000001						
6C648C	Cull Hazard	00000005	00000001	00000000	00000006	00000002	00000000						
6C64A4	Cull Hazard	00000008	00000001	00000001	00000006	00000001	00000001	00000004	00000001	00000000			
720A38	Baragoon Tunnel	0000000B	00000001	00000002									
720A44	Baragoon Tunnel	00000001	00000001	00000002									
720A50	Baragoon Tunnel	00000003	00000002	00000001									
720A5C	Baragoon Tunnel	00000002	00000001	00000002									
720A68	Baragoon Tunnel	00000001	00000001	00000000	00000002	00000001	00000002						
720A80	Baragoon Tunnel	00000003	00000001	00000001	00000002	00000001	00000001						
720A98	Baragoon Tunnel	0000000B	00000001	00000001	00000001	00000001	00000000						
720AB0	Baragoon Tunnel	00000002	00000001	00000001	00000003	00000001	00000001						
7444DC	Boil Hole	00000002	00000002	00000002									
7444E8	Boil Hole	00000007	00000001	00000001									
7444F4	Boil Hole	00000008	00000001	00000000									
744500	Boil Hole	00000009	00000001	00000000									
74450C	Boil Hole	0000000A	00000002	00000002									
744518	Boil Hole	00000002	00000001	00000001	0000000A	00000001	00000001						
744530	Boil Hole	00000008	00000001	00000000	0000000A	00000001	00000001						
744548	Boil Hole	00000009	00000001	00000000	0000000A	00000001	00000001						
744560	Boil Hole	00000007	00000001	00000001	00000009	00000001	00000000						
7874F4	Brannoch Castle	0000000B	00000001	00000002									
787500	Brannoch Castle	0000000C	00000001	00000002									
78750C	Brannoch Castle	0000000B	00000001	00000000	0000000C	00000001	00000001						
7C3B70	Connor Forest	00000005	00000001	00000002									
7C3B7C	Connor Forest	00000006	00000001	00000001									
7C3B88	Connor Forest	00000007	00000003	00000003									
7C3B94	Connor Forest	00000008	00000001	00000001									
7C3BA0	Connor Forest	00000009	00000001	00000001									
7C3BAC	Connor Forest	00000007	00000001	00000001	00000005	00000001	00000000						
7C3BC4	Connor Forest	00000005	00000001	00000000	00000009	00000001	00000000						
7C3BDC	Connor Forest	00000008	00000001	00000000	00000005	00000001	00000000	00000009	00000001	00000000			
7C3C00	Connor Forest	00000006	00000001	00000000	00000007	00000001	00000001						
7F1760	Glencoe Forest	0000000A	00000002	00000004									
7F176C	Glencoe Forest	0000000B	00000001	00000001									
7F1778	Glencoe Forest	0000000C	00000002	00000002									
7F1784	Glencoe Forest	0000000D	00000001	00000001									
7F1790	Glencoe Forest	0000000D	00000001	00000000	0000000C	00000001	00000002						
7F17A8	Glencoe Forest	0000000A	00000002	00000001	0000000C	00000001	00000001						
82511C	Windward Forest	00000004	00000001	00000003									
825128	Windward Forest	00000005	00000002	00000003									
825134	Windward Forest	00000006	00000001	00000001									
825140	Windward Forest	00000007	00000002	00000002									
82514C	Windward Forest	0000000A	00000003	00000003									
825158	Windward Forest	0000000B	00000003	00000003									
825164	Windward Forest	0000000B	00000002	00000001	00000005	00000001	00000002						
82517C	Windward Forest	00000004	00000001	00000001	00000007	00000002	00000001						
825194	Windward Forest	0000000A	00000001	00000000	0000000B	00000001	00000001	00000005	00000001	00000000	00000007	00000001	00000000
8251C4	Windward Forest	00000000	00000001	00000001									
8251D0	Windward Forest	00000000	00000001	00000000	00000004	00000001	00000000						
852FF4	Mammon's World	00000000	00000002	00000001									
853000	Mammon's World	00000001	00000002	00000001									
85300C	Mammon's World	00000002	00000001	00000003									
853018	Mammon's World	00000003	00000001	00000001									
853024	Mammon's World	00000000	00000001	00000000	00000002	00000001	00000001						
